Number,Question,Answer,ClauseRef,Section
,Unconsolidated quarterly financial statements?,No,,Facilities
,Unconsolidated monthly financial statements?,No,,Facilities
2.15,Is failure to pay an event a default?,Yes,,Facilities
2.16,Is there a material adverse changed event of a default?,Yes,,Facilities
2.17,What cross-default or cross acceleration is provided for?,None,,Facilities
2.18,What is the cross-default or cross-acceleration threshold?,"Currency - GBP, Amount - 5000 ",,Facilities
2.19,Does the credit aggreement contain a set-off clause in favour of the lender?,Yes,,Facilities
2.20,Governing law of principal credit aggreement:,qweqwe asdasd,,Facilities
2.21,Does the credit aggreement provide for arbitration?,Yes,,Facilities
3.1,Voting level for most decisions?,66 2/3%,,Voting
3.2,Can a lender split its commitments/loans when voting?,Yes,,Voting
3.3,Details of split voting (if applicable):,qwepoi qwepoi qwepoi!!,,Voting
3.4,Can the hedge counterparties vote before enforcement?,Yes,,Voting
3.5,Can the hedge counterparties vote after enforcement?,Yes,,Voting
4.1,"List the Obligors by name, juristiction and whether they are a borrower, guarantor, and/or security provider on a new line for each below: E.g. Name, Jurisdiction, Borrower","asdasd, qweqwe, zxczxc",,Obligors
4.2,Do all guarantors guarantee all borrowings?,Yes,,Obligors
4.3,Does the agreement allow additional borrowers?,Yes,,Obligors
4.4,Consent level for additional borrowers in existing juridictions:,Non-standard consent level (i.e. Not all lender or majority lender (66 2/3%)),,Obligors
4.5,Consent level for additional borrowers in new juridictions:,Majority lender (66 2/3%),,Obligors
4.6,Does the aggreement allow additional guarantors:,All lender,,Obligors
4.7,Consent level for additional guarantors in existing juridictions:,All lender,,Obligors
4.8,Consent level for additional guarantors in new juridictions:,Majority lender (66 2/3%),,Obligors
5.1,Is there security?,Yes,,Security and structure
5.2,Brief description of security:,werpoi werpoi werpoi werpoi!!,,Security and structure
5.3,What laws govern the security agreements?,asdl;k as;dlk asd;lk asd,,Security and structure
5.4,Is there an intercreditor/subordination/priority agreement?,Yes,,Security and structure
5.5,Do the hedge counterparties benefit from the security?,Yes,,Security and structure
5.6,Have the original security documents been provided to the security trustee facility agent?,Yes,,Security and structure
6.1,"When an event of default is outstanding, are the following permitted?",,,Transferability and disclosure
,Transfer to existing lenders:,With consultation,,Transferability and disclosure
,Disclosure to existing lenders:,With consultation,,Transferability and disclosure
,Transfer to banks and financial institutions:,With consultation,,Transferability and disclosure
,Disclosure to banks and financial institutions:,With consultation,,Transferability and disclosure
,"Transfer to any other person, trust, fund or entity regularly engaged or established for the purpose of making loans (ie any potential counterparty)?",With consultation,,Transferability and disclosure
,"Disclosure to any other person, trust, fund or entity regularly engaged or established for the purpose of making loans (ie any potensial counterparty)?",With consultation,,Transferability and disclosure
,"Is there a requirement for any potential transferee to be regulated, hold a banking licence etc?",Yes,,Transferability and disclosure
6.2,"When no event of default is outstanding, are the following permitted?",,,Transferability and disclosure
,Transfer to existing lenders:,With consultation,,Transferability and disclosure
,Disclosure to existing lenders:,With consultation,,Transferability and disclosure
,Transfer to banks and financial institutions:,With consultation,,Transferability and disclosure
,Disclosure to banks and financial institutions:,With consultation,,Transferability and disclosure
,"Transfer to any other person, trust, fund or entity regularly engaged or established for the purpose of making loans (ie any potential counterparty)?",With consultation,,Transferability and disclosure
,"Disclosure to any other person, trust, fund or entity regularly engaged or established for the purpose of making loans (ie any potensial counterparty)?",With consultation,,Transferability and disclosure
,"Is there a requirement for any potential transferee to be regulated, hold a banking licence etc?",Yes,,Transferability and disclosure
6.3,Would a potential transferee be required to enter into a non-disclosure agreement?,Yes,,Transferability and disclosure
6.4,"If consent is required for any transfer, is it deemed given if not refused?",Yes,,Transferability and disclosure
6.5,"Is the consent of any issuing bank, agent or trustee required for a transfer?",No,,Transferability and disclosure
6.6,"In exceptional circumstances only, please provide any other relevant information for transfer (e.g. exceptional restrictions, transfer requirements)",werwerwerwerwer,,Transferability and disclosure
6.7,Minimum transfer amount,"Currency - CAD, Amount - 5000 ",,Transferability and disclosure
6.8,Can lenders grant security over their rights?,Yes,,Transferability and disclosure
7.1,Permitted interest periods,1 month,,Loan management
7.2,What consent requirements are there for non-standard interest periods (if any),,,Loan management
,,None!,,Loan management
7.3,Notice period for submitting a utilisation request for sterling,"Number - 3, Days - Day(s) ",,Loan management
7.4,Notice period for submitting a utilisation request for non-sterling,"Number - 12, Days - Business day(s) ",,Loan management
7.5,Notice period for prepayment of loans,"Number - 10, Days - Business day(s) ",,Loan management
7.6,Notice period for cancellation of commitments,"Number - 5, Days - Business day(s) ",,Loan management
8.1,What is the initial margin (% per annum)?,12,,Pricing
8.2,Are there commitment fees?,No,,Pricing
8.3,Are there utilisation fees?,Yes,,Pricing
8.4,Does the margin vary (by references to a margin grid or otherwise)?,Yes,,Pricing
9.1,Does the credit agreement contain a concept of Defaulting Lenders?,Yes,,Defaulting Lenders
9.2,Can Obligors set off against money owed to Defaulting Lenders?,Yes,,Defaulting Lenders
10.1,"Agent type (E.g. Facility agent, security agent) and agent name?",Security Agent qweqwe,,Agents
11.1,Please give a brief summary of any other significant information not covered by the questions above:,qweopiu qweoiu qwe!!,,Other information
11.2,Test question. This must be numeric?,123,,Other information
