8.2,Are there commitment fees?,Yes,1,,,
,Details (if yes):,Not detailed in agreeement,,,,
8.3,Are there utilisation fees?,Yes,1,,,
,Details (if yes):,Not detailed in agreement,,,,
8.4,Does the margin vary (by references to a margin grid or otherwise)?,Yes,1,,,
,"What the variation is based on (e.g. leverage, ratings, other financial covenants) and the maximum and minimum amounts (if yes):",,,,,
,,,,,,
Defaulting lenders,,,,,,
,,,Clause ref,,,
9.1,Does the credit agreement contain a concept of Defaulting Lenders?,Yes,1,,,
9.2,Can Obligors set off against money owed to Defaulting Lenders?,Yes,1,,,
,,,,,,
Agents,,,,,,
10.1,"Types of Agent (eg. Agent, Security Agent) and the Agent Name:",Agent,,,,
,,Security Agent,,,,
,,,,,,
Other information,,,,,,
11.1,Please give a brief summary of any other significant information not covered by the questions above.,No other significant information,,,,
,,,,,,
